slug_key,product_slug,url,category,page_type,catalog_source,target_keyword,product_title,review_count_total,review_count_active,review_count_excluded,has_reviews,sample_quote
"jaguar-land-rover-els","jaguar-land-rover-els","https://www.alanranger.com/jaguar-land-rover-els","landing","landing","landing_pages_csv","","","0","0","0","no",""
"my-ethical-policy","my-ethical-policy","https://www.alanranger.com/my-ethical-policy","landing","landing","landing_pages_csv","","","0","0","0","no",""
"outdoor-photography-exposure-calculator","outdoor-photography-exposure-calculator","https://www.alanranger.com/outdoor-photography-exposure-calculator","landing","landing","landing_pages_csv","","","0","0","0","no",""
"photo-workshops-uk","photo-workshops-uk","https://www.alanranger.com/photo-workshops-uk","service","service","landing_pages_csv","","","0","0","0","no",""
"photographic-workshops-near-me","photographic-workshops-near-me","https://www.alanranger.com/photographic-workshops-near-me","service","service","landing_pages_csv","","","0","0","0","no",""
"photographic-workshops-near-me/abstract-and-macro-photography-workshop","abstract-and-macro-photography-workshop","https://www.alanranger.com/photographic-workshops-near-me/abstract-and-macro-photography-workshop","event","event","landing_pages_csv","","","0","0","0","no",""
"photographic-workshops-near-me/abstract-and-macro-photography-workshop-coventry","abstract-and-macro-photography-workshop-coventry","https://www.alanranger.com/photographic-workshops-near-me/abstract-and-macro-photography-workshop-coventry","event","event","landing_pages_csv","","","0","0","0","no",""
"photographic-workshops-near-me/anglesey-photography-workshop-wales","anglesey-photography-workshop-wales","https://www.alanranger.com/photographic-workshops-near-me/anglesey-photography-workshop-wales","event","event","landing_pages_csv","","","0","0","0","no",""
"photographic-workshops-near-me/batsford-arboretum-autumn-photography-1nov","batsford-arboretum-autumn-photography-1nov","https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-1nov","event","event","landing_pages_csv","","","0","0","0","no",""
"photographic-workshops-near-me/batsford-arboretum-autumn-photography-29oct","batsford-arboretum-autumn-photography-29oct","https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-29oct","event","event","landing_pages_csv","","","0","0","0","no",""
