Event_Title,Start_Date,Start_Time,End_Date,End_Time,Category,Tags,Excerpt,Location_Business_Name,Location_Address,Location_City_State_ZIP,Event_URL,Event_Image,Text_Block,Published_Date,Workflow_State
RPS Courses - RPS Distinctions Course - Enrol Anytime -3-3,2026-03-03,19:00:00,2026-03-03,21:00:00,"rps-classes,location-online","composition,lightroom,photo-critiques,photo-editing,photoshop,rps",03/03/2026RPS Courses - RPS Distinctions - Enrol Anytime - Online Mentoring sessions to gain a distinction with the Royal Photographic Society via Zoom,Online - Virtual Class - Zoom Meeting,United Kingdom,,https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-1,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1685445150893-KNP35P159NIWH07BZSXM/RPS-Distinctions-photography-course.jpg,,2025-11-04 18:12:20,Published
Lightroom Classic Photo Editing Classes -Week 1 of 3 -4-3,2026-03-04,19:00:00,2026-03-04,21:00:00,"beginners-lightroom,courses-near-me,enrol-date,location-coventry","collections,composition,exporting,exposure,lightroom,photo-critiques,photo-editing,photoshop,Week-1",04/03/2026Coventry - Lightroom photo editing classes - Learn how to use Lightroom Classic on this 3-week course. From the organisation and workflow to editing,Coventry,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-xx94r,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675589565448-JHL9406XQ7598QHPOLW5/-LIGHTROOM+COURSE+BLACK.png,,2026-01-12 14:53:32,Published
Camera Courses For Beginners - Week 1 of 3 - Coventry 5-3,2026-03-05,19:00:00,2026-03-05,21:00:00,"beginners-courses,beginners-photography,courses-near-me,enrol-date,location-coventry","camera-settings,composition,exposure,photo-critiques,dslr-settings,Week-1",05/03/2026Coventry - 3-week camera courses for beginners - Everything to get off Automatic mode and learn how to be more creative with Composition and Camera,Coventry,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1629536412755-A3NEF7ZNBOQ1044I8WVM/beginners-photography-courses.jpg,,2025-11-13 18:47:10,Published
Camera Courses For Beginners - Week 1 of 3 - Coventry 9-3,2026-03-09,19:00:00,2026-03-09,21:00:00,"beginners-courses,beginners-photography,courses-near-me,enrol-date,location-coventry",,09/03/2026Coventry - 3-week camera courses for beginners - Everything to get off Automatic mode and learn how to be more creative with Composition and Camera,Alan Ranger Photography,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-7breh,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1629536412755-A3NEF7ZNBOQ1044I8WVM/beginners-photography-courses.jpg,,2025-11-04 18:12:42,Published
Lightroom Classic Photo Editing Classes -Week 2 of 3 - 11-3,2026-03-11,19:00:00,2026-03-11,21:00:00,"beginners-lightroom,courses-near-me,location-coventry","collections,composition,exporting,exposure,lightroom,photo-critiques,photo-editing,photoshop",11/03/2026Coventry - Lightroom photo editing classes - Learn how to use Lightroom Classic on this 3-week course. From the organisation and workflow to editing,Coventry,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk2-55f3d,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675589565448-JHL9406XQ7598QHPOLW5/-LIGHTROOM+COURSE+BLACK.png,,2026-01-12 14:53:22,Published
Camera Courses For Beginners - Week 2 of 3 - Coventry 12-3,2026-03-12,19:00:00,2026-03-12,21:00:00,"beginners-courses,beginners-photography,courses-near-me,location-coventry","camera-settings,composition,exposure,photo-critiques,dslr-settings,Week 2",12/03/2026Coventry - 3-week camera courses for beginners - Everything to get off Automatic mode and learn how to be more creative with Composition and Camera,Coventry,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-4pp2p,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1629536412755-A3NEF7ZNBOQ1044I8WVM/beginners-photography-courses.jpg,,2025-11-13 18:46:40,Published
Camera Courses For Beginners - Week 2 of 3 - Coventry 16-3,2026-03-16,19:00:00,2026-03-16,21:00:00,"beginners-courses,beginners-photography,courses-near-me,location-coventry","camera-settings,composition,exposure,photo-critiques,dslr-settings,Week 2",16/03/2026Coventry - 3-week camera courses for beginners - Everything to get off Automatic mode and learn how to be more creative with Composition and Camera,Coventry,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-hl4tm,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1629536412755-A3NEF7ZNBOQ1044I8WVM/beginners-photography-courses.jpg,,2025-08-04 18:19:10,Published
Lightroom Classic Photo Editing Classes -Week 3 of 3 - 18-3,2026-03-18,19:00:00,2026-03-18,21:00:00,"beginners-lightroom,courses-near-me,location-coventry","collections,composition,exporting,exposure,lightroom,photo-critiques,photo-editing,photoshop",18/03/2026Coventry - Lightroom photo editing classes - Learn how to use Lightroom Classic on this 3-week course. From the organisation and workflow to editing,Coventry,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk3-42ynf,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675589565448-JHL9406XQ7598QHPOLW5/-LIGHTROOM+COURSE+BLACK.png,,2026-01-12 14:53:13,Published
Camera Courses For Beginners - Week 3 of 3 - Coventry 19-3,2026-03-19,19:00:00,2026-03-19,21:00:00,"beginners-courses,beginners-photography,courses-near-me,location-coventry","camera-settings,composition,exposure,photo-critiques,dslr-settings,Week 2",19/03/2026Coventry - 3-week camera courses for beginners - Everything to get off Automatic mode and learn how to be more creative with Composition and Camera,Coventry,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-8s2ka,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1629536412755-A3NEF7ZNBOQ1044I8WVM/beginners-photography-courses.jpg,,2025-11-13 18:46:59,Published
Camera Courses For Beginners - Week 3 of 3 - Coventry 23-3,2026-03-23,19:00:00,2026-03-23,21:00:00,"beginners-courses,beginners-photography,courses-near-me,location-coventry","camera-settings,composition,exposure,photo-critiques,dslr-settings",23/03/2026Coventry - 3-week camera courses for beginners - Everything to get off Automatic mode and learn how to be more creative with Composition and Camera,Coventry,"45 Hathaway Road, Coventry, England, CV4 9HW, United Kingdom",CV4 9HW,https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-s2klg,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1629536412755-A3NEF7ZNBOQ1044I8WVM/beginners-photography-courses.jpg,,2025-08-04 18:19:53,Published
