Event_Title,Start_Date,Start_Time,End_Date,End_Time,Category,Tags,Excerpt,Location_Business_Name,Location_Address,Location_City_State_ZIP,Event_URL,Event_Image,Text_Block,Published_Date,Workflow_State
Woodland Photography Walk - Coventry Tile Hill NR - Winter,02/02/2026,09:30:00,02/02/2026,11:30:00,2.5hrs-4hrs,,02/02/2026Woodland Photography Walk - Enjoy and learn in a 2hr informal walk through woodland NR with a camera under the support of a professional Photographer,Coventry,"Banner Lane, Coventry, United Kingdom",Coventry,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-coventry-cv4,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1709978483227-AGNBKSFNJEJ0VP2ERGWQ/Down+Under.jpg,"

<div class=""sqs-html-content"" data-sqsp-text-block-content="""">
  <h3 style=""white-space:pre-wrap;""><strong>Location - Woodland Photography Walk</strong></h3><h3 style=""white-space:pre-wrap;"">Tile Hill Wood - Coventry</h3>
</div>




















  
  



",18/04/2025 11:08,Published
Suffolk Landscape Photography Workshop - Long Exposure,06/02/2026,09:30:00,08/02/2026,14:30:00,2-5-days,,"06/02/2026Suffolk Landscape Photography Workshop. Coastline and long exposures - learn how to compose, practise long exposure and when B&amp;W works better.",Suffolk,"Southwold,, IP18 6EJ, United Kingdom",IP18 6EJ,https://www.alanranger.com/photographic-workshops-near-me/suffolk-landscape-photography-workshop,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715078273140-XM8AQE8L1BX1V7RQSKKE/Southwold+Pier+%2301+-+Feb+2024.jpg,,10/11/2025 23:44,Published
Norfolk Photography Workshop | Cromer to Hunstanton,13/02/2026,09:30:00,15/02/2026,14:00:00,2-5-days,,"13/02/2026Norfolk Photography Workshop abandoned boats, windmills, nature reserves, dunes, coastal erosion, estuaries, harbours and seascapes. | North Norfolk",Norfolk,"Blakeney, NR25 7ND, United Kingdom",NR25 7ND,https://www.alanranger.com/photographic-workshops-near-me/norfolk-photography-workshop,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1670327540020-BBW67S1689K55ALBBY4X/Thornham+-+1+Sep+2020.jpg,,26/08/2025 11:06,Published
"Hartland Quay, Devon Seascape Photography Workshop",19/02/2026,12:30:00,22/02/2026,12:30:00,2-5-days,,"19/02/2026Devon, Hartland Quay - Photography Workshop. Learn how to photograph seascapes, long-exposure &amp; classic views at this dramatic coastline location",Devon,"Hartland Quay, Bideford, EX39 6DB, United Kingdom",EX39 6DB,https://www.alanranger.com/photographic-workshops-near-me/hartland-quay-devon-seascapes-ynfcl,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1674565120064-MZONL9LFH2Z0RH81Z9CT/Atlantic+Force.jpg,,04/11/2025 18:19,Published
Northumberland Landscape Photography Workshop | 4 Days | Feb,26/02/2026,14:00:00,01/03/2026,14:00:00,2-5-days,landscape,26/02/2026Northumberland Landscape Photography Workshop for practising long exposures at sunrise to sunset to get those iconic views of the Northumbrian coast.,Northumberland,"Lowick,  Northumberland, TD15 2UA, United Kingdom",TD15 2UA,https://www.alanranger.com/photographic-workshops-near-me/northumberland-landscape-photography-workshop,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1707213523267-M43SC9SL8KNU8S7Z6MJ7/Northumberland+Landscape+Photography+Workshop+%282%29.jpg,,03/03/2025 10:03,Published
Ireland Photography Workshop | Landscapes Southern Ireland,05/03/2026,10:30:00,09/03/2026,15:00:00,2-5-days,,"05/03/2026Dingle, Southern Ireland Photography Workshop -Enjoy the iconic landscape scenes around the Dingle Peninsula, South Kerry and Killarney National Park",Ireland - Dingle,"Dingle, KY, V92 P956, Ireland",V92 P956,https://www.alanranger.com/photographic-workshops-near-me/dingle-kerry-ireland-photography-workshop,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1677346509314-C2AKCUSTJ30QVKO7L8YD/Coumeenoole+Strand+2.jpg,"

<div class=""sqs-html-content"" data-sqsp-text-block-content="""">
  <h3 style=""white-space:pre-wrap;""><strong>Location - Ireland Photography Workshop</strong></h3><p class="""" style=""white-space:pre-wrap;"">Dingle, Southern Ireland</p>
</div>




















  
  



",24/01/2025 08:28,Published
Fairy Glen Betws-y-Coed Photography Workshop -  Wales,07/03/2026,10:00:00,07/03/2026,13:30:00,2.5hrs-4hrs,wales,07/03/2025Fairy Glen Betws-y-Coed Photography Workshop - A magical serene gorge through the river Conwy provides a great opportunity to practise long exposure,Wales - Snowdonia,"Snowdonia National Park, Betws-y-Coed, Wales, LL24 0SG, United Kingdom",LL24 0SG,https://www.alanranger.com/photographic-workshops-near-me/fairy-glen-betws-y-coed-photography,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1707215037398-4NEW80LYQQ2XQX73MZYH/Fairy+Glen+Betws-y-Coed+Photography+Workshop.jpg,,14/05/2025 10:44,Published
Landscape Photography Snowdonia Photography Workshop,07/03/2026,10:00:00,08/03/2026,16:00:00,2-5-days,wales,"07/03/2026Wales - Landscape Photography Snowdonia Workshops - Waterfalls, mountains, big vistas, slate quarries, lakes | photography workshops near me",Wales - Snowdonia,"Capel Curig, Betws-y-Coed, LL24 0EL, United Kingdom",LL24 0EL,https://www.alanranger.com/photographic-workshops-near-me/landscape-photography-snowdonia-workshop,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1696850796928-3GQA4UMZ6SHN0O83WJWJ/Snowdonia+Landscape+Photography+Workshop.jpg,,23/05/2025 10:53,Published
Lake District Photography Workshop | Spring in Cumbria,20/03/2026,09:30:00,22/03/2026,13:30:00,2-5-days,,20/03/2026Lake District Photography Workshops - Enjoy the iconic scenes in spring with spring growth and iconic vistas. Learn how to make the best images,Lake District,"England, CA12 4QG, United Kingdom",CA12 4QG,https://www.alanranger.com/photographic-workshops-near-me/lake-district-photography-workshop-spring,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1538928085823-H07VOW50MWIZ6EKCTFH1/blea+mirror-Alan-Ranger-Photography-Workshops.jpg,,26/02/2025 18:39,Published
Sunset Photographic Workshop - Chesterton Windmill 30-3,30/03/2026,17:30:00,30/03/2026,19:30:00,2.5hrs-4hrs,,30/03/2026Warwickshire - Chesterton Windmill - Practise and learn long exposures and composition at this famous Midlands landmark windmill on this night shoot.,Warwickshire,"Windmill Hill Ln, England, CV33 9LB, United Kingdom",CV33 9LB,https://www.alanranger.com/photographic-workshops-near-me/sunset-chesterton-windmill-spring,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1546348903737-ZZOPNMPKQI3BIO8NTQJA/chesterton-windmill-photography-workshops.jpg,,14/05/2025 11:26,Published
Long Exposure Photography Workshop - Kenilworth 31-3,31/03/2026,18:00:00,31/03/2026,20:00:00,2.5hrs-4hrs,,31/03/2026Kenilworth - Learn long exposure photography and make interesting movement shots on this photography workshop night shoot around Kenilworth Castle.,Kenilworth,"Castle Hill, Kenilworth, England, CV8 1ND, United Kingdom",CV8 1ND,https://www.alanranger.com/photographic-workshops-near-me/long-exposure-photography-workshop-kenilworth2,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675345926122-FG9G39T5F3OOT1CNEZMP/kenilworth+defenses.jpg,,04/11/2025 18:19,Published
Yorkshire Dales Photography Workshop - Landscape Photography,10/04/2026,10:00:00,12/04/2026,14:00:00,2-5-days,,"10/04/2026Yorkshire Dales Photography Workshops - Limestone pavements, waterfalls, classic vistas-learn how to create &amp; apply techniques at this iconic place",Yorkshire Dales,"Ingleton, LA6 3ET, United Kingdom",LA6 3ET,https://www.alanranger.com/photographic-workshops-near-me/yorkshire-dales-photography-workshop,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1700307464816-8M6DYZWM365TXZAVTZ25/Windskill+%2305+-+Nov+2023.jpg,,04/11/2025 18:20,Published
Long Exposure Photo Workshop - Sunset - Kenilworth - Apr,13/04/2026,18:30:00,13/04/2026,20:30:00,2.5hrs-4hrs,,13/04/2026Kenilworth - Learn long exposure photography and make interesting movement shots on this photography workshop night shoot around Kenilworth Castle.,Kenilworth,"38 castle rd, England, CV8 1NG, United Kingdom",CV8 1NG,https://www.alanranger.com/photographic-workshops-near-me/long-exposure-photo-workshop-sunset-kenilworth,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1741367268682-VQY1Z5HZAGVFN4V74YPD/Moon.jpg,,04/11/2025 18:20,Published
Coventry Evening Urban Architecture Photography Workshop ,16/04/2026,18:15:00,16/04/2026,20:15:00,2.5hrs-4hrs,,16/04/2026Coventry - Once City of Culture - Explore the new and old surrounding area to create Urban Architecture Photography with Alan on this night shoot.,Coventry,"1 Priory St, England, CV1 5FB, United Kingdom",CV1 5FB,https://www.alanranger.com/photographic-workshops-near-me/urban-architecture-photography-workshop-coventry,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1546344708108-3P21C5HFHMEO7XP2F2LT/ST+MICHAEL+SUBDUING+THE+DEVIL+-Photography-Workshops.jpg,,04/11/2025 18:20,Published
The Secrets of Woodland Photography - 1-Day Masterclass Apr,19/04/2026,10:00:00,19/04/2026,16:00:00,1-day,,"19/04/2026Coventry - The Secrets of Woodland Photography - open to all levels, experience, and camera. 1-Day Masterclass combining theory and practicals.",Coventry,"45 Hathaway Road, Coventry, England, CV4 9HP, United Kingdom",CV4 9HP,https://www.alanranger.com/photographic-workshops-near-me/secrets-of-woodland-photography-masterclass-spring,https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1687442036373-6Q6GKKLKEX4UZ00OFCMU/Plant%2BHill%2BWoods%2B%252311%2B-%2BJan%2B2022.jpg,,04/11/2025 18:20,Published
