Linking Page + URL,DA,Spam Score,Anchor Text + Target URL,Link Type,First Seen,Lost
"Trees - nature photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/trees-11-nature-photo-contest-19374/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"26 Sep 2025, 11:18 AM",No
"Black and White Seascapes - waterscape photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/black-and-white-seascapes-waterscape-photo-contest-19516/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"3 Oct 2025, 5:29 PM",No
"Autumn Landscapes - landscape photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/autumn-landscapes-1-landscape-photo-contest-19465/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"19 Sep 2025, 5:07 PM",No
"Minimalist Landscapes - landscape photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/minimalist-landscapes-9-landscape-photo-contest-19358/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"19 Sep 2025, 12:24 PM",No
"Landscape - landscape photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/show-your-best-landscape-landscape-photo-contest-57/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"19 Sep 2025, 10:56 AM",No
"Minimalist Landscapes - landscape photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/minimalist-landscapes-10-landscape-photo-contest-19359/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"19 Sep 2025, 12:13 PM",No
"Signs of Spring - nature photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/signs-of-spring-3-nature-photo-contest-11142/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"11 Oct 2025, 1:17 PM",No
"Blocking tactics - technique photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/blocking-tactics-technique-photo-contest-74/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"11 Oct 2025, 2:43 AM",No
"Mountains - nature photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/mountains-nature-photo-contest-13510/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"11 Oct 2025, 12:26 PM",No
"Trees - nature photo contest | Photocrowd photo competitions & community site
https://www.photocrowd.com/photo-competitions/trees-9-nature-photo-contest-19372/",55,5,"Alan Ranger
https://www.alanranger.com/",Dofollow,"26 Sep 2025, 12:38 PM",No
