url,target_keyword,target_class,keyword_class,tracked_in_151,notes
https://www.alanranger.com/,alan ranger photography,tracked,brand,Y,homepage clean keep
https://www.alanranger.com/academy/login,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/batsford-arboretum-photography,batsford arboretum photography,longtail_by_design,,N,page-specific long-tail
https://www.alanranger.com/beginners-photography-classes,beginner photography classes,tracked,local-money,Y,clean keep
https://www.alanranger.com/beginners-portrait-photography-course,portrait photography course,longtail_by_design,,N,tracked-set candidate pending KE volume
https://www.alanranger.com/bluebell-woods-near-me,bluebell woods near me,longtail_by_design,,N,page-specific long-tail
https://www.alanranger.com/contact-us-alan-ranger-photography,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/copyright-policy-alan-ranger,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/corporate-photography-training,corporate photography training,tracked,national-money,Y,clean keep
https://www.alanranger.com/course-finder-photography-classes-near-me,,none_utility,,N,navigation utility — photography classes near me remains solely /photography-courses-coventry
https://www.alanranger.com/data-privacy-policy,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/free-online-photography-course,free online photography course,tracked,national-money,Y,clean keep
https://www.alanranger.com/hire-a-professional-photographer-in-coventry,hire a professional photographer coventry,tracked,local-money,Y,clean keep
https://www.alanranger.com/jaguar-land-rover-els,Jaguar Land Rover,longtail_by_design,,N,page-specific long-tail
https://www.alanranger.com/landscape-photography-workshops,landscape photography workshop,tracked,national-money,Y,clean keep
https://www.alanranger.com/my-ethical-policy,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/photo-editing-course-coventry,lightroom editing course,tracked,local-money,Y,clean keep
https://www.alanranger.com/photography-courses-coventry,photography courses coventry,tracked,local-money,Y,clean keep
https://www.alanranger.com/photography-gift-vouchers,photography gift voucher,tracked,national-money,Y,clean keep
https://www.alanranger.com/photography-lessons-online-121,photography lessons online,tracked,national-money,Y,clean keep
https://www.alanranger.com/photography-mentoring-online-assignments,,cannibal_candidate,,N,CANNIBAL-CANDIDATE: consolidate/301 decision pending Alan — intent owned by /rps-courses-mentoring-distinctions
https://www.alanranger.com/photography-payment-plan,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/photography-special-offers,Photography Special Offers,longtail_by_design,,N,page-specific long-tail
https://www.alanranger.com/photography-tuition-services,,cannibal_candidate,,N,CANNIBAL-CANDIDATE: consolidate/301 decision pending Alan — intent owned by /private-photography-lessons
https://www.alanranger.com/photography-workshops,photography workshops,tracked,national-money,Y,clean keep
https://www.alanranger.com/photography-workshops-near-me,photography holidays uk,tracked,national-money,Y,residential photography workshops = tracked-set candidate pending KE volume
https://www.alanranger.com/private-photography-lessons,private photography lessons,tracked,local-money,Y,clean keep
https://www.alanranger.com/professional-commercial-photographer-coventry,commercial photographer,tracked,local-money,Y,clean keep
https://www.alanranger.com/professional-photographer-near-me,Professional Headshots,tracked,local-money,Y,clean keep
https://www.alanranger.com/property-photographer-coventry,property photographer coventry,tracked,,N,near-miss vs LOCKED property photographer — keep page-specific
https://www.alanranger.com/rps-courses-mentoring-distinctions,rps courses,tracked,national-money,Y,clean keep
https://www.alanranger.com/schedule-an-appointment,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/terms-and-conditions,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/website-cookie-policy,,none_utility,,N,utility/legal — no TradSEO target
https://www.alanranger.com/website-terms-and-conditions,,none_utility,,N,utility/legal — no TradSEO target
