product_title,product_url,category,typical_price_gbp,service_page_url,service_page_title,known_variants,sources
MACRO Photography Workshops Warwickshire - Various,https://www.alanranger.com/photo-workshops-uk/abstract-and-macro-photography-workshops,workshop (half-day),65,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",Macro Photography Workshop - Abstract and Macro Warwickshire,05-workshops; 05-event-mappings
BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops,workshop (1-day),99,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,,05-workshops; 05-event-mappings
BLUEBELL WOODLANDS Photography - Warks - 20 Apr- 30 Apr,https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops,workshop (1-day),99,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,,05-workshops; 05-event-mappings
Brandon Marsh Photography Workshop | Nature Reserve Coventry,https://www.alanranger.com/photo-workshops-uk/brandon-marsh-nature-reserve-photography-workshop,workshop,,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops
Christmas Photography Seasonal Workshops | Warwickshire,https://www.alanranger.com/photo-workshops-uk/christmas-photography-workshops,workshop (half-day),,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops
NORTHUMBERLAND Photography Workshops - Mar 18 - 21,https://www.alanranger.com/photo-workshops-uk/coastal-northumberland-photography-workshops,workshop (residential),995,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops; 05-event-mappings
North Cotswolds Landscape Photography Workshop | 1 Day,https://www.alanranger.com/photo-workshops-uk/cotswolds-landscape-photography-workshop,workshop (1-day),,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,,05-workshops
DARTMOOR Photography Workshop - Landscapes - 9th - 11th Oct,https://www.alanranger.com/photo-workshops-uk/dartmoor-photography-landscape-workshop,workshop (residential),875,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops; 05-event-mappings
DORSET Landscape Photography Workshop Purbeck 25 - 27 Sep,https://www.alanranger.com/photo-workshops-uk/dorset-landscape-photography-workshop,workshop (residential),925,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops; 05-event-mappings
EXMOOR Photography Workshop - Sat 18 - Sun 19 Jul 2026,https://www.alanranger.com/photo-workshops-uk/exmoor-photography-workshops-lynmouth,workshop (residential),575,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),Exmoor Photography Workshops - Lynmouth - Seascapes,05-workshops; 05-event-mappings
Fireworks Photography Workshop | Long Exposure | Kenilworth,https://www.alanranger.com/photo-workshops-uk/fireworks-photography-workshop-kenilworth,workshop (half-day),75,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,workshop (half-day),35,https://www.alanranger.com/landscape-photography-workshops,"Landscape Photography Workshops (half-day, 2.5-4hr hub)",,05-workshops; 05-event-mappings
KERRY - Southern Ireland Photography Workshop - Mar 2026,https://www.alanranger.com/photo-workshops-uk/ireland-photography-workshops-dingle,workshop (residential),,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops
LAKE DISTRICT Photography Workshops - Jan - Mar - Sep - Nov,https://www.alanranger.com/photo-workshops-uk/lake-district-photography-workshop,workshop (residential),975,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops; 05-event-mappings
"PEAK DISTRICT Photography Workshops - May, Oct and Nov",https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire,workshop (1-day),150,https://www.alanranger.com/landscape-photography-workshops,Landscape Photography Workshops,,05-workshops; 05-event-mappings
Landscape Photography DEVON Workshops - Various Dates,https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay,workshop (residential),750,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops; 05-event-mappings
Landscape Photography SNOWDONIA - Sat 26 - Sun 27 Sep 2026,https://www.alanranger.com/photo-workshops-uk/landscape-photography-snowdonia-workshops,workshop (residential),595,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),Landscape Photography Snowdonia Workshops | Wales |,05-workshops; 05-event-mappings
GOWER Landscape Photography Wales - 28 Aug - 30 Aug 2026,https://www.alanranger.com/photo-workshops-uk/landscape-photography-wales-photo-workshop,workshop (residential),825,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops; 05-event-mappings
Landscape Photography Workshop NORFOLK - Coastal 20 - 22 Nov,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshop-norfolk,workshop (residential),975,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops; 05-event-mappings
ANGLESEY Landscape Photography Workshop -  May 2027,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-anglesey,workshop (residential),795,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),Landscape Photography Workshop Anglesey Island | Wales,05-workshops; 05-event-mappings
Landscape Photography Workshop Glencoe | 15 - 17 Mar 2021,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-glencoe,workshop (residential),,https://www.alanranger.com/photography-workshops,Photography Workshops (residential hub),,05-workshops
