product_title,category,service_page_url,typical_price_gbp,seasonality_type,event_months,classification_reason
MACRO Photography Workshops Warwickshire - Various,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,65,season_bound,,workshop - light/weather seasonal
BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,workshop (1-day),https://www.alanranger.com/one-day-landscape-photography-workshops,99,event_bound,"10,11",natural window only
BLUEBELL WOODLANDS Photography - Warks - 20 Apr- 30 Apr,workshop (1-day),https://www.alanranger.com/one-day-landscape-photography-workshops,99,event_bound,"4,5",natural window only
Brandon Marsh Photography Workshop | Nature Reserve Coventry,workshop,https://www.alanranger.com/landscape-photography-workshops,,season_bound,,workshop - seasonal demand
Christmas Photography Seasonal Workshops | Warwickshire,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,,event_bound,12,natural window only
NORTHUMBERLAND Photography Workshops - Mar 18 - 21,workshop (residential),https://www.alanranger.com/photography-workshops,995,event_bound,3,Once/year - product name says Mar 18-21
North Cotswolds Landscape Photography Workshop | 1 Day,workshop (1-day),https://www.alanranger.com/one-day-landscape-photography-workshops,,season_bound,,workshop - seasonal demand
DARTMOOR Photography Workshop - Landscapes - 9th - 11th Oct,workshop (residential),https://www.alanranger.com/photography-workshops,875,event_bound,10,Once/year - product name says 9-11 Oct
DORSET Landscape Photography Workshop Purbeck 25 - 27 Sep,workshop (residential),https://www.alanranger.com/photography-workshops,925,event_bound,9,Once/year - product name says 25-27 Sep
EXMOOR Photography Workshop - Sat 18 - Sun 19 Jul 2026,workshop (residential),https://www.alanranger.com/photography-workshops,575,event_bound,7,Once/year - product name says 18-19 Jul 2026
Fireworks Photography Workshop | Long Exposure | Kenilworth,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,75,season_bound,,workshop - light/weather seasonal
The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July,workshop (half-day),https://www.alanranger.com/landscape-photography-workshops,35,event_bound,"5,7",scheduled May and July only per product name
