keyword,tracking_location,location_name_dfs,class,target_page,llm_prompt
airbnb photographer,Local,"Coventry,England,United Kingdom",local-money,/property-photographer-coventry,false
alan ranger,UK,United Kingdom,brand,/,false
alan ranger photography,UK,United Kingdom,brand,/,false
alan ranger photography reviews,UK,United Kingdom,brand,/,false
architectural photography course,UK,United Kingdom,national-money,/photography-workshops,false
basic photography course,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
basic photography lessons,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginner photography classes,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginner photography courses,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginners photography class,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginners photography class near me,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginners photography classes,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginners photography classes coventry,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginners photography course,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginners photography course near me,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginners photography courses,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginners photography courses coventry,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,true
beginners photography lessons coventry,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
beginning photography lessons,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
best photography classes,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
best photography course,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
best photography workshops,UK,United Kingdom,national-money,/photography-workshops,false
best photography workshops uk,UK,United Kingdom,national-money,/photography-workshops,false
business headshots,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,false
camera courses coventry,Local,"Coventry,England,United Kingdom",local-money,/photography-courses-coventry,false
camera courses for beginners,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
commercial photographer,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
commercial photographer coventry,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,true
commercial photographer near me,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
commercial photography services,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
corporate headshots,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,false
corporate photography,UK,United Kingdom,national-money,/corporate-photography-training,false
corporate photography training,UK,United Kingdom,national-money,/corporate-photography-training,false
ecommerce product photography,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
estate agent photographer,Local,"Coventry,England,United Kingdom",local-money,/property-photographer-coventry,false
food photographer,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
food photographer near me,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
food photography,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
free online photography course,UK,United Kingdom,national-money,/free-online-photography-course,true
free online photography courses,UK,United Kingdom,national-money,/free-online-photography-course,false
free online photography courses with certificates,UK,United Kingdom,national-money,/free-online-photography-course,false
free photography classes,UK,United Kingdom,national-money,/free-online-photography-course,false
free photography classes near me,Local,"Coventry,England,United Kingdom",local-money,/free-online-photography-course,false
free photography courses,UK,United Kingdom,national-money,/free-online-photography-course,false
