"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","GTIN","MPN","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5dca98092391642d185a3e0f","152868b2-1c9f-4020-8b09-eab213841533","SERVICE","photo-workshops-uk","abstract-and-macro-photography-workshops","MACRO Photography Workshops Warwickshire - Various","<h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Abstract and Macro Photography Workshop&nbsp;. Learn about camera settings, lens use, controlling DoF and composition. Various Dates in Warwickshire | Half Day</h4><h3 style=""text-align: start; ; white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Summary</strong></h3><ul data-rte-list=""default""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Location:</span></strong><span> Warwickshire</span></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Dates:</span></strong><span> Macro Photography Workshops</span></p><ul data-rte-list=""default""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Macro Photography - Tue July 7th - 6:30pm - 8:30pm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><span>Macro Photography - </span>Tue Sep 8th - 6:00pm - 8:00pm</p></li></ul></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Participants:</span></strong><span> Max 4</span></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Fitness:</span></strong><span> 1. Easy</span></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Experience Level:</strong> Beginner to Advanced</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Equipment Needed: </strong>Digital Camera and Tripod, Zoom or Macro Lens</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span>Macro Photography Workshop Event Details</span></strong><span>: </span><a href=""/photography-workshops"" rel=""noopener""><span>Macro Photography and Abstract</span></a></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Description:</strong> This Abstract and Macro Photography Workshop takes place at a Warwickshire location and is open to all levels and any camera. Macro is where ordinary surroundings become extraordinary — get close and a tree trunk, a piece of weathered stone or a patch of water reveals shapes, colours, tones and patterns most people walk straight past. The whole session is about learning to <em>see</em> them, and then photograph them with intention.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">The technical craft matters here — and we'll cover it properly — but it's the floor, not the point. Working around the area together, Alan guides you through the settings that give you control: getting sharp focus and using a macro lens or zoom, controlling depth of field to isolate your subject, and building a composition with real intention. From there the real work begins — training your eye to find the abstract within the ordinary, to read tone, shadow and highlight, and to treat colour as a harmony to compose with rather than a loud effect to chase. The aim is never the obvious close-up everyone takes, but an image that's considered and your own.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">It's a small group of no more than four, taught personally by an award-winning professional photographer, so every person gets real one-to-one guidance in the field — briefing and set-up, then shooting with reviews and tuition as you go. You'll leave with your own macro and abstract images, and a sharper, more intentional way of seeing detail, colour and light that changes how you photograph everything afterwards.</p></li></ul>","SQ8482281","","","Dates","Tue Jul 7th - 6:30pm - 8:30pm","","","","","","","","","","","65.00","50.00","Yes","4","All Photography Workshops, - half-day photo workshops, Macro & Abstract","warwickshire","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/25c550a3-a242-4303-a11b-367dd7055dbe/Abstract%2Band%2BMacro%2BPhotography%2BWorkshops%2B%25282%2529.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1658831471882-14ZQZY2W2Z4CRAWT75UO/macro+and+abstract+photography+workshops.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/cbdab577-bddb-49b6-8d4e-88c999b504f1/Batsford+%2302+-+Oct+2024.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1714311582795-GEV30D9NMSKMMQL77053/crocuses.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1714311645908-B8QR7XKT5LCFL1M6U67P/Tree+Pan.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1714311645880-NKMAX3DKS4GUD4L29BN7/Amlwch+Quayside+%2305+-+Jun+2023.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1573822197229-48HK2I6AFOCX6KM0TQT6/macro-and-abstract-photography-workshop.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1658831809587-EUGCKR4H8U44VDLVT3W1/Ancient+Oak+%2305+-+Jul+2022.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/ce398fe9-047d-47c5-9679-55808e81b693/Hay+Wood+%2301+-+Jan+2022.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/d5cec827-b5c5-4123-bd33-7168c5d593e8/Hosta.jpg"
"","79b60942-f870-41a6-a1a3-ecfd851fb66c","","","","","","SQ8660736","","","Dates","Tue Sep 8th - 6:00pm - 8:00pm","","","","","","","","","","","65.00","50.00","Yes","4","","","","","","","",""
"5bf2ba47575d1f96f71de175","af50d490-f8b7-4a58-a3bb-b87e3f06ac58","SERVICE","photography-services-near-me","annual-pick-n-mix-subscription","Annual Pick N Mix Subscription | Interest Free Payment Plan","<h4 style=""white-space:pre-wrap;"">Make a one-off payment by bank transfer or through this to get 20% discount on events booked for 12 Months  | Tailored Pick N Mix photography training plan</h4>","SQ0754560","","","Plan Amount over 12 Months","1 x £1200 = £1200","","","","","","","","","","","1200.00","0.00","No","Unlimited","photography-classes, photography-courses, photography-workshops","picknmix","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/4c6bb1a6-8752-4aea-a250-484fb1acdf75/Photography+Payment+Plan.png"
"","8d69b0eb-5f8c-4be4-a112-e1ec735de0ba","","","","","","SQ7502565","","","Plan Amount over 12 Months","1 x £1500 = £1500","","","","","","","","","","","1500.00","0.00","No","Unlimited","","","","","","","",""
"","487c4e21-79f0-40d6-aa79-fc002be9a4f5","","","","","","SQ1485137","","","Plan Amount over 12 Months","1 x £2000 = £2000","","","","","","","","","","","2000.00","0.00","No","Unlimited","","","","","","","",""
"","ee9a7242-c963-4555-a406-93688c5ecf4b","","","","","","SQ7001156","","","Plan Amount over 12 Months","1 x £2500 = £2500","","","","","","","","","","","2500.00","0.00","No","Unlimited","","","","","","","",""
"","4696847f-7062-4891-a710-cfe6b9b4c317","","","","","","SQ2612014","","","Plan Amount over 12 Months","1 x £3000 = £3000","","","","","","","","","","","3000.00","0.00","No","Unlimited","","","","","","","",""
"5ba27ee7cd83662812f383a9","5d605a5e-1bb8-4a8b-afab-5286df9212e3","SERVICE","photo-workshops-uk","batsford-arboretum-photography-workshops","BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct","<h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Batsford Arboretum Photography Workshops in autumn. Enjoy the colour and expert photographic guidance | Half or One Day Sessions | Any Level and Camera</h4><h3 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Summary</strong></h3><ul data-rte-list=""default""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Location:</strong> Batsford Arboretum - Gloucestershire</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Dates:</strong> Fri 23 Oct – Sat 31 Oct 2026</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Participants:</strong> Max 6</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Fitness:</strong> 1. Easy</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Experience Level:</strong> Beginner to Advanced</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Equipment Needed:</strong> DSLR or Mirrorless Camera</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Photography Workshop Event</strong><a href=""https://www.alanranger.com/batsford-arboretum-photography"" rel=""noopener""> Batsford Arboretum</a></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Description:</strong> For nearly fifteen years I've returned to Batsford Arboretum each autumn, and in that time I've come to know every corner of it — which spot works at which hour, where the light falls and the angles that turn one of Britain's finest tree collections into a photograph rather than a snapshot. This workshop is built on that knowledge. Open to all levels and any camera, it's a chance to photograph Batsford's autumn colour with someone who can put you in the right place at the right time, so you can spend your energy on the thing that actually matters: seeing.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Because that's where this workshop really lives. We'll cover the technical setup — exposure, depth of field, the settings that give you control — but that's only the floor. The real work is learning to look: to compose with intention and move beyond the clich&eacute; shot everyone else comes home with, to find the close-up, the macro detail and the quiet abstract as readily as the wide vista, and above all to read light, texture and colour as a harmony rather than chasing the over-saturated &quot;look how vivid this is&quot; image. Colour handled with restraint and relationship will always outlast colour shouted.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">With small numbers and genuine one-to-one attention throughout, you'll have the time and space to slow down and work properly — and you can choose a half-day morning or afternoon session, or a full day in the colour. You'll leave not just with a set of strong autumn images, but with a way of seeing — light, texture and composition — that changes how you photograph colour, woodland and the natural world wherever you go next.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Good to know: the workshop price includes entrance to the Arboretum. On the early morning session we have exclusive access before the gardens open to the public — the quiet best light of the day, with the place to ourselves. A grab-and-go breakfast is available from around 9:30am, and the caf&eacute; and outdoor snack bar are open through the day for lunch and refreshments, with toilets on site by the reception area.</strong></p></li></ul>","SQ0818501","","","Available Sessions Left","Fri 23  Oct 2026 AM - 8am - 11:30am","","","","","","","","","","","125.00","99.00","Yes","6","All Photography Workshops, - half-day photo workshops, - one day photo workshops, Landscape, Woodlands, autumn","batsford, autumn","","","","","Yes","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155253660-I9BNV2CJV5TPWB56WH93/Batsford+Autumn+7.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155902024-AVYIK2XRILTTZOSA0SR7/_.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155208386-AK9F4KXGAT08LHNFYW24/Hanging.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155208293-S65J7NNI79QFOGPU5400/Blush.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155208377-PH7RYM3TB5KNL68IIX8Y/Batsford+%2307+-+Oct+2021.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155208356-Q4SS5H2AF1N47A2A41WQ/Batsford+%2322+-+Oct+2021.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155208364-QERJI5MO925TG4V3KZF5/Batsford+%2303+-+Oct+2021.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155208379-0ZJH6MF5HKD7R3QRESF4/Batsford+Autumn+1.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155208394-3Z3KHU876CON1IMNHKG0/Batsford+Autumn+3.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1715155208409-WSSJ82XDFBYUXGVLHGN7/Batsford+%2317+-+Oct+2021.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1716329076555-MDP3B46Y1C16P1IJ3ZM0/Batsford+Arboretum+Photography.jpg https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1714657012869-USO6782BUAYGB2RIJ5Q1/Autumn+Window.jpg"
"","feeda5ef-0a37-4d7d-8141-64517451eaeb","","","","","","SQ7647904","","","Available Sessions Left","Fri 23 Oct 2026 PM - 12pm - 3:30pm","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","9379fb03-1869-4217-96ca-35c959251f49","","","","","","SQ9436105","","","Available Sessions Left","Fri 23 Oct 2026 All Day -8am - 3:30pm","","","","","","","","","","","175.00","150.00","Yes","6","","","","","","","",""
